year,attributes,corr
2012,jumping,0.224670578063
2012,long_passing,0.392980060089
2012,long_shots,0.361038324771
2012,marking,0.11548537608
2012,penalties,0.323197220285
2012,positioning,0.317325898388
2012,potential,0.771336192873
2012,reactions,0.759728178444
2012,short_passing,0.412142067441
2012,shot_power,0.386056732076
2012,sliding_tackle,0.138671847653
2012,sprint_speed,0.200152505535
2012,stamina,0.270792872746
2012,standing_tackle,0.146582319914
2012,strength,0.256046217305
2012,vision,0.463471110969
2012,volleys,0.36576867186
2012,weight,0.0917433651217
2013,acceleration,0.182718265343
2013,age,0.378836921836
2013,aggression,0.333353382654
2013,agility,0.23193343644
2013,attacking_work_rate,0.109875563337
2013,balance,0.0859084907954
2013,ball_control,0.416235707726
2013,crossing,0.329091460015
2013,curve,0.353222845949
2013,defensive_work_rate,0.0412471254659
2013,dribbling,0.292195030161
2013,finishing,0.293673131257
2013,free_kick_accuracy,0.328918407573
2013,heading_accuracy,0.257881298326
2013,height,0.00328608545669
2013,interceptions,0.221097184785
2013,jumping,0.238888964039
2013,long_passing,0.403718092554
2013,long_shots,0.365820342655
2013,marking,0.117013904121
2013,penalties,0.341976799004
2013,positioning,0.306761844956
2013,potential,0.766160994009
2013,reactions,0.783992557762
2013,short_passing,0.424463072087
2013,shot_power,0.402032572474
2013,sliding_tackle,0.134326282043
2013,sprint_speed,0.190357595205
2013,stamina,0.270093649653
2013,standing_tackle,0.153976745845
2013,strength,0.266590238059
2013,vision,0.432919270751
2013,volleys,0.360346808339
2013,weight,0.0894058375173
2014,acceleration,0.161777049043
2014,age,0.361955101301
2014,aggression,0.299115734678
2014,agility,0.231164070781
2014,attacking_work_rate,0.101976475077
2014,balance,0.0877286024226
2014,ball_control,0.410127783146
2014,crossing,0.350324609173
2014,curve,0.389883896263
2014,defensive_work_rate,0.0430692441855
2014,dribbling,0.323638774
2014,finishing,0.324425608217
2014,free_kick_accuracy,0.364818664481
2014,heading_accuracy,0.296544716837
2014,height,0.0152379014408
2014,interceptions,0.212433055616
2014,jumping,0.246368990335
2014,long_passing,0.402396550963
2014,long_shots,0.389099600962
2014,marking,0.131785137104
2014,penalties,0.332374358752
2014,positioning,0.329224354984
2014,potential,0.773717851633
2014,reactions,0.799695796966
2014,short_passing,0.419682256755
2014,shot_power,0.404432494213
2014,sliding_tackle,0.137277545195
2014,sprint_speed,0.178959619981
2014,stamina,0.254417800691
2014,standing_tackle,0.158871213723
2014,strength,0.269894796294
2014,vision,0.404109868115
2014,volleys,0.375185840183
2014,weight,0.0977596216149
2015,acceleration,0.15247849776
2015,age,0.344450254832
2015,aggression,0.289651633501
2015,agility,0.227870784998
2015,attacking_work_rate,0.124995922946
2015,balance,0.0854150920079
2015,ball_control,0.38769556062
2015,crossing,0.325345922009
2015,curve,0.365754681964
2015,defensive_work_rate,0.0500525336418
2015,dribbling,0.301553942833
2015,finishing,0.296223612178
2015,free_kick_accuracy,0.334002728305
2015,heading_accuracy,0.272672371624
2015,height,0.0111758831129
2015,interceptions,0.208442940532
2015,jumping,0.24458737989
2015,long_passing,0.397433943973
2015,long_shots,0.364480345971
2015,marking,0.132839686669
2015,penalties,0.300215408609
2015,positioning,0.30980199734
2015,potential,0.776403633671
2015,reactions,0.809676753173
2015,short_passing,0.411388711843
2015,shot_power,0.377776639834
2015,sliding_tackle,0.125352209138
2015,sprint_speed,0.166816628696
2015,stamina,0.25532273972
2015,standing_tackle,0.14778075437
2015,strength,0.261335796703
2015,vision,0.385362174228
2015,volleys,0.343075912739
2015,weight,0.095201663108
2016,acceleration,0.162610542007
2016,age,0.284913931031
2016,aggression,0.281684293003
2016,agility,0.210132825987
2016,attacking_work_rate,0.119113765903
2016,balance,0.0852590894913
2016,ball_control,0.384249349323
2016,crossing,0.307146182803
2016,curve,0.333996200408
2016,defensive_work_rate,0.0664851320891
2016,dribbling,0.289619322293
2016,finishing,0.261220661629
2016,free_kick_accuracy,0.301465613207
2016,heading_accuracy,0.250053735133
2016,height,0.0077358434499
2016,interceptions,0.212439970569
2016,jumping,0.229152004257
2016,long_passing,0.400049487676
2016,long_shots,0.334410112514
2016,marking,0.130220830507
2016,penalties,0.283066068927
2016,positioning,0.28521866039
2016,potential,0.783320323867
2016,reactions,0.819004953542
2016,short_passing,0.41989865453
2016,shot_power,0.355808064355
2016,sliding_tackle,0.132371274569
2016,sprint_speed,0.17577354156
2016,stamina,0.265459434603
2016,standing_tackle,0.155257513009
2016,strength,0.23387990431
2016,vision,0.416103663661
2016,volleys,0.309558266011
2016,weight,0.0750670265269
